date,link_name,name,surname,race,role,region,quote,lane,date_release,image,image_spell_1,image_spell_2,image_spell_3,image_spell_4,image_passive
2030-11-06,aatrox,Aatrox,Épée des Darkin,Darkin,Combattant,Runeterra,« Je détruirai même l'espoir. »,Top,2013-06-13,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Aatrox_Passive.png
2030-12-19,ahri,Ahri,Renard à neuf queues,Vastaya,Mage,Ionia,« Les émotions humaines peuvent être plus volatiles encore que la plus intense des magies. »,Mid,2011-12-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ahri_SoulEater2.png
2030-05-21,akali,Akali,Assassin rebelle,,Assassin,Ionia,"« Avoir l'air dangereux, c'est bien. Être dangereux, c'est mieux. »",Mid,2010-05-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Akali_P.png
2030-08-03,akshan,Akshan,Sentinelle rebelle,,Tireur,Shurima,« Je refuse de croire que tout arrive toujours pour de bonnes raisons. »,Mid,2021-07-23,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/akshan_p.png
2030-09-01,alistar,Alistar,Minotaure,,Tank,Runeterra,« Rien ne peut me retenir ! »,Support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Pulverize.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Headbutt.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AlistarE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FerociousHowl.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Alistar_E.png
2030-01-15,ambessa,Ambessa,Matriarche de guerre,,Combattant,Noxus,« Mes ennemis sont les ennemis de ma famille. »,,,,,,,,
2030-10-05,amumu,Amumu,Momie mélancolique,,Tank,Shurima,« La solitude est parfois pire que la mort. »,Jungle,2009-06-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BandageToss.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuraofDespair.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Tantrum.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CurseoftheSadMummy.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Amumu_Passive.png
2030-09-17,anivia,Anivia,Cryophénix,,Mage,Freljord,"« Je suis la fureur du blizzard, la morsure du vent, le froid de la glace. Je suis Freljord. »",Mid,2009-07-10,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FlashFrost.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Crystallize.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Frostbite.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/GlacialStorm.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Anivia_P.png
2030-02-21,annie,Annie,Enfant des ténèbres,,Mage,Runeterra,"« Si tu montes, il y aura des cendres ! »",Mid,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Annie_Passive.png
2030-11-24,aphelios,Alune,Arme des Lunaris,,Tireur,Targon,« Tous ceux qui renient notre foi seront rattrapés par notre destin. »,ADC,2019-12-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosQ_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosE_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/ApheliosP.png
2030-02-26,ashe,Ashe,Archère de givre,,Tireur,Freljord,« Rêvons ensemble d'un Freljord uni. »,ADC,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AsheQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Volley.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AsheSpiritOfTheHawk.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EnchantedCrystalArrow.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ashe_P.png
2030-11-29,aurelionsol,Aurelion Sol,Forgeur d'étoiles,,Mage,Runeterra,« La peur. La vénération. L'émerveillement. Ce sont toutes des réactions appropriées. »,Mid,2016-03-24,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/AurelionSol_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/AurelionSolP.png
2030-08-04,aurora,Aurora,Sorcière d'entre les mondes,Vastaya,Mage,Freljord,« Je vois en même temps les royaumes matériel et spirituel. Cette fusion m'est propre... Et elle est magnifique. »,,,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aurora_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/AuroraPassive.Aurora.png
2030-08-13,azir,Azir,Empereur des sables,,Mage,Shurima,« Shurima était autrefois la gloire de Runeterra. Je lui rendrai tout son éclat. »,Mid,2014-09-16,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Azir_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirQWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirEWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Azir_Passive.png
